Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Coast to Mountain;Total matches;217
04/01/2025;15:15 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Jibatong [Jibatong] [China] [China] [Japanese] [Japanese];<;Nicov [Chinese] [Chinese] [Argentina] [Argentina] [Nicov];;Japanese;Chinese;Chinese;FALSE;Muisca;0;0;0%;0,00;Coast to Mountain;;
04/01/2025;15:05 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Margougou [Margougou] [France] [France] [Malians] [Malians];<;Capoch [Berbers] [Berbers] [Argentina] [Argentina] [Capoch];;Malians;Berbers;Berbers;FALSE;Persians;58;31;54%;68,17;Coast to Mountain;;
04/01/2025;15:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Prisma09 [Prisma09] [Argentina] [Argentina] [Malians] [Malians];<;DauT [Mongols] [Mongols] [Serbia] [Serbia] [DauT];;Malians;Mongols;Mongols;FALSE;Poles;2;1;50%;52,84;Coast to Mountain;;
04/01/2025;15:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;saymyname [Saymyname] [Vietnam] [Vietnam] [Mongols] [Mongols];<;TaToH [Berbers] [Berbers] [Spain] [Spain] [TaToH];;Mongols;Berbers;Berbers;FALSE;Portuguese;6;4;67%;62,38;Coast to Mountain;;
04/01/2025;14:45 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Uzzi [Uzzi] [Mexico] [Mexico] [Berbers] [Berbers];<;Hearttt [Mongols] [Mongols] [Peru] [Peru] [Hearttt];;Berbers;Mongols;Mongols;FALSE;Puru;0;0;0%;0,00;Coast to Mountain;;
04/01/2025;14:45 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;KingstoNe [KingstoNe] [Mexico] [Mexico] [Saracens] [Saracens];<;dogao [Japanese] [Japanese] [Brazil] [Brazil] [Dogao];;Saracens;Japanese;Japanese;FALSE;Romans;1;0;0%;0,00;Coast to Mountain;;
04/01/2025;14:45 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Ciskhan [Ciskhan] [France] [France] [Huns] [Huns];<;Mihai06 [Khmer] [Khmer] [Romania] [Romania] [Mihai06];;Huns;Khmer;Khmer;FALSE;Saracens;1;0;0%;0,00;Coast to Mountain;;
04/01/2025;14:35 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Daniel [Daniel] [United States] [United States] [Berbers] [Berbers];<;MbL [Persians] [Persians] [Norway] [Norway] [MbL];(G4) [Watch VOD] [Watch VOD];Berbers;Persians;Persians;FALSE;Shu;0;0;0%;0,00;Coast to Mountain;;
04/01/2025;13:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;GoKu [GoKu] [Brazil] [Brazil] [Cumans] [Cumans];<;KingstoNe [Byzantines] [Byzantines] [Mexico] [Mexico] [KingstoNe];;Cumans;Byzantines;Byzantines;FALSE;Sicilians;0;0;0%;0,00;Coast to Mountain;;
04/01/2025;13:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Nezzar [Nezzar (page does not exist)] [Hong Kong] [Hong Kong] [Japanese] [Japanese];<;Sebastian [Persians] [Persians] [Uruguay] [Uruguay] [Sebastian];;Japanese;Persians;Persians;FALSE;Slavs;1;0;0%;0,00;Coast to Mountain;;
