Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Islands;Total matches;683
11/10/2025;01:00 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Islands [Islands];1v1;Moon [Moon (page does not exist)] [Mexico] [Mexico] [Japanese] [Japanese];<;SiNisTeR [Armenians] [Armenians] [Mexico] [Mexico] [SiNisTeR (page does not exist)];;Japanese;Armenians;Armenians;FALSE;Persians;40;23;58%;63,08;Islands;;
09/10/2025;03:30 UTC;[Age of Empires II];MEGA LAN 2025: Buenos Aires [MEGA LAN 2025/Buenos Aires];Islands [Islands];1v1;Nuñez Knight [NunezKnight] [Argentina] [Argentina] [Italians] [Italians];<;Prisma09 [Persians] [Persians] [Argentina] [Argentina] [Prisma09];;Italians;Persians;Persians;FALSE;Poles;2;1;50%;51,12;Islands;;
12/07/2025;13:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;chart [Chart] [Japan] [Japan] [Persians] [Persians];<;TaToH [Koreans] [Koreans] [Spain] [Spain] [TaToH];(G3) [Watch VOD] [Watch VOD];Persians;Koreans;Koreans;FALSE;Portuguese;138;66;48%;61,06;Islands;;
11/07/2025;13:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;Margougou [Margougou] [France] [France] [Dravidians] [Dravidians];<;Chart [Romans] [Romans] [Japan] [Japan] [Chart];(G4) [Watch VOD] [Watch VOD];Dravidians;Romans;Romans;FALSE;Puru;0;0;0%;0,00;Islands;;
07/07/2025;18:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;Monoz [Monoz] [Argentina] [Argentina] [Japanese] [Japanese];<;classicpro [Vikings] [Vikings] [Ukraine] [Ukraine] [Classicpro];;Japanese;Vikings;Vikings;FALSE;Romans;2;2;100%;53,94;Islands;;
05/07/2025;17:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;Lucho [Lucho] [Argentina] [Argentina] [Vikings] [Vikings];<;Running [Chinese] [Chinese] [Germany] [Germany] [Running];;Vikings;Chinese;Chinese;FALSE;Saracens;61;18;30%;24,06;Islands;;
29/06/2025;14:20 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;NeoZz [NeoZz] [France] [France] [Italians] [Italians];<;TaToH [Vikings] [Vikings] [Spain] [Spain] [TaToH];;Italians;Vikings;Vikings;FALSE;Shu;8;4;50%;53,37;Islands;;
25/06/2025;18:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;King_Boo [King Boo] [United Kingdom] [United Kingdom] [Wu] [Wu];<;Monoz [Persians] [Persians] [Argentina] [Argentina] [Monoz];;Wu;Persians;Persians;FALSE;Sicilians;13;5;38%;47,29;Islands;;
25/06/2025;16:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;NeoZz [NeoZz] [France] [France] [Shu] [Shu];>;GoKu [Dravidians] [Dravidians] [Brazil] [Brazil] [GoKu];;Shu;Dravidians;Shu;FALSE;Slavs;0;0;0%;0,00;Islands;;
23/06/2025;18:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;Rodrixs [Rodrixs] [Argentina] [Argentina] [Vikings] [Vikings];<;DracKeN [Portuguese] [Portuguese] [Czechia] [Czechia] [DracKeN];;Vikings;Portuguese;Portuguese;FALSE;Spanish;9;5;56%;54,89;Islands;;
23/06/2025;13:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;Target331 [Target331] [Germany] [Germany] [Shu] [Shu];<;ACCM [Malay] [Malay] [Vietnam] [Vietnam] [ACCM];;Shu;Malay;Malay;FALSE;Tatars;0;0;0%;0,00;Islands;;
22/06/2025;15:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;TeMo [TeMo] [Morocco] [Morocco] [Dravidians] [Dravidians];<;Chart [Vikings] [Vikings] [Japan] [Japan] [Chart];;Dravidians;Vikings;Vikings;FALSE;Teutons;3;1;33%;34,86;Islands;;
22/06/2025;12:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;Target331 [Target331] [Germany] [Germany] [Portuguese] [Portuguese];<;Blve [Shu] [Shu] [Taiwan] [Taiwan] [Blve (page does not exist)];;Portuguese;Shu;Shu;FALSE;Tupi;0;0;0%;0,00;Islands;;
20/06/2025;13:15 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;OLADUSHEK [OLADUSHEK] [Belarus] [Belarus] [Japanese] [Japanese];<;ACCM [Vikings] [Vikings] [Vietnam] [Vietnam] [ACCM];;Japanese;Vikings;Vikings;FALSE;Turks;3;2;67%;52,97;Islands;;
18/06/2025;;[Age of Empires II];Hidden Cup Italia 2 [Hidden Cup Italia/2];Islands [Islands];1v1;Kamigawa [Kamigawa] [Italy] [Italy] [Romans] [Romans];>;Vodka_L_ [Saracens] [Saracens] [Italy] [Italy] [Vodka L];;Romans;Saracens;Romans;FALSE;Vietnamese;3;0;0%;0,00;Islands;;
14/06/2025;17:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;darvoi [Darvoi] [United Kingdom] [United Kingdom] [Italians] [Italians];<;dave_hun [Armenians] [Armenians] [Hungary] [Hungary] [Dave hun];;Italians;Armenians;Armenians;FALSE;Vikings;225;120;53%;69,09;Islands;;
07/06/2025;19:30 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Fanjita [Fanjita] [United Kingdom] [United Kingdom] [Dravidians] [Dravidians];>;Terz [Vikings] [Vikings] [Germany] [Germany] [Terz];;Dravidians;Vikings;Dravidians;FALSE;Wei;0;0;0%;0,00;Islands;;
04/06/2025;20:00 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Emu Warrior [Emu Warrior (page does not exist)] [United States] [United States] [Koreans] [Koreans];<;Steak [Chinese] [Chinese] [United Kingdom] [United Kingdom] [Steak];;Koreans;Chinese;Chinese;FALSE;Wu;5;1;20%;12,09;Islands;;
30/05/2025;;[Age of Empires II];Hidden Cup Italia 2 [Hidden Cup Italia/2];Islands [Islands];1v1;Rise [Rise] [Italy] [Italy] [Italians] [Italians];<;Kamigawa [Armenians] [Armenians] [Italy] [Italy] [Kamigawa];;Italians;Armenians;Armenians;FALSE;;;;;;Islands;;
27/05/2025;18:55 UTC;[Age of Empires II];Great British Discord Community Cup 2025 [Great British Discord Community Cup/2025];Islands [Islands];1v1;Chris Pelham [Chris Pelham (page does not exist)] [United Kingdom] [United Kingdom] [Japanese] [Japanese];<;steak [Koreans] [Koreans] [United Kingdom] [United Kingdom] [Steak];;Japanese;Koreans;Koreans;FALSE;;;;;;Islands;;
27/05/2025;;[Age of Empires II];Hidden Cup Italia 2 [Hidden Cup Italia/2];Islands [Islands];1v1;Sir_Hellequinn [Sir Hellequinn (page does not exist)] [Italy] [Italy] [Armenians] [Armenians];<;Vodka_L_ [Vikings] [Vikings] [Italy] [Italy] [Vodka L];;Armenians;Vikings;Vikings;FALSE;;;;;;Islands;;
