Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;191
20/01/2024;01:00 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;Delphinedore [Delphinedore (page does not exist)] [Mexico] [Mexico] [Maya] [Maya];<;SpaciousBunion5 [Tatars] [Tatars] [Chile] [Chile] [SpaciousBunion5 (page does not exist)];;Maya;Tatars;Tatars;FALSE;Saracens;10;4;40%;52,02;Arabia;;
19/01/2024;22:00 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;SPARTAN4189 [SPARTAN4189 (page does not exist)] [Mexico] [Mexico] [Byzantines] [Byzantines];<;Zotico3 [Cumans] [Cumans] [United States] [United States] [Zotico3 (page does not exist)];;Byzantines;Cumans;Cumans;FALSE;Shu;0;0;0%;0,00;Arabia;;
19/01/2024;17:30 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;AzusaNakano3 [AzusaNakano3 (page does not exist)] [Sweden] [Sweden] [Huns] [Huns];<;Turtle tank3344 [Lithuanians] [Lithuanians] [Canada] [Canada] [Turtle tank3344 (page does not exist)];;Huns;Lithuanians;Lithuanians;FALSE;Sicilians;4;1;25%;18,28;Arabia;;
19/01/2024;17:20 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;FireHarbor92372 [FireHarbor92372 (page does not exist)] [Argentina] [Argentina] [Byzantines] [Byzantines];<;SoloGhostAK47 [Mongols] [Mongols] [United States] [United States] [SoloGhostAK47];;Byzantines;Mongols;Mongols;FALSE;Slavs;6;4;67%;63,40;Arabia;;
18/01/2024;23:00 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;FPS Thug Life [FPS Thug Life (page does not exist)] [United States] [United States] [Lithuanians] [Lithuanians];>;Kamprrrrr [Romans] [Romans] [Poland] [Poland] [Kamprrrrr (page does not exist)];;Lithuanians;Romans;Lithuanians;FALSE;Spanish;10;7;70%;69,81;Arabia;;
16/01/2024;01:00 UTC;[Age of Empires II];Fight Club Monthly #2 [Fight Club Monthly/2];MegaRandom [MegaRandom];1v1;Scorpionlawz [Scorpionlawz (page does not exist)] [United States] [United States] [Inca] [Inca];<;Delphinedore [Inca] [Inca] [Mexico] [Mexico] [Delphinedore (page does not exist)];;Inca;Inca;Inca;TRUE;Tatars;9;5;56%;60,67;Arabia;;
11/11/2023;19:30 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Celts] [Celts];<;dogao [Vikings] [Vikings] [Brazil] [Brazil] [Dogao];;Celts;Vikings;Vikings;FALSE;Teutons;6;1;0%;0,00;Arabia;;
11/11/2023;19:30 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Sicilians] [Sicilians];<;dogao [Georgians] [Georgians] [Brazil] [Brazil] [Dogao];;Sicilians;Georgians;Georgians;FALSE;Tupi;0;0;0%;0,00;Arabia;;
11/11/2023;18:40 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Georgians] [Georgians];<;Dr.Kozmonot [Hindustanis] [Hindustanis] [Turkey] [Turkey] [Dr.Kozmonot];;Georgians;Hindustanis;Hindustanis;FALSE;Turks;7;1;14%;5,05;Arabia;;
11/11/2023;18:25 UTC;[Age of Empires II];The Map - Pablito Edition [The Map/6];MegaRandom [MegaRandom];1v1;Monoz [Monoz] [Argentina] [Argentina] [Teutons] [Teutons];<;dogao [Bengalis] [Bengalis] [Brazil] [Brazil] [Dogao];;Teutons;Bengalis;Bengalis;FALSE;Vietnamese;10;5;50%;57,95;Arabia;;
