Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Strandred;Total matches;258
07/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;DuDuZhu [DuDuZhu] [China] [China] [Georgians] [Georgians];>;StonePleaseAoE [Armenians] [Armenians] [Germany] [Germany] [StonePleaseAoE];;Georgians;Armenians;Georgians;FALSE;Muisca;1;1;100%;55,12;Strandred;;
06/02/2026;18:40 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;lyx [Lyx] [China] [China] [Japanese] [Japanese];<;Liereyy [Persians] [Persians] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Japanese;Persians;Persians;FALSE;Persians;31;16;52%;62,54;Strandred;;
06/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Gabi [Gabi] [Brazil] [Brazil] [Koreans] [Koreans];>;Monoz [Persians] [Persians] [Argentina] [Argentina] [Monoz];(G1) [Watch VOD] [Watch VOD];Koreans;Persians;Koreans;FALSE;Poles;0;0;0%;0,00;Strandred;;
05/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;miguel [Miguel] [Brazil] [Brazil] [Dravidians] [Dravidians];>;Villese [Wu] [Wu] [Finland] [Finland] [Villese];(G2) [Watch VOD] [Watch VOD];Dravidians;Wu;Dravidians;FALSE;Portuguese;8;4;50%;56,13;Strandred;;
04/02/2026;05:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;saymyname [Saymyname] [Vietnam] [Vietnam] [Koreans] [Koreans];<;Combito [Wu] [Wu] [Mexico] [Mexico] [Combito];;Koreans;Wu;Wu;FALSE;Puru;0;0;0%;0,00;Strandred;;
03/02/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Terz [Terz] [Germany] [Germany] [Japanese] [Japanese];<;Kasva [Koreans] [Koreans] [Turkey] [Turkey] [Kasva];(G1) [Watch VOD] [Watch VOD];Japanese;Koreans;Koreans;FALSE;Romans;11;3;27%;21,03;Strandred;;
02/02/2026;19:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;NeoZz [NeoZz] [France] [France] [Mayans] [Mayans];>;Babaorum [Byzantines] [Byzantines] [France] [France] [Babaorum];(G3) [Watch VOD] [Watch VOD];Mayans;Byzantines;Mayans;FALSE;Saracens;2;0;0%;0,00;Strandred;;
01/02/2026;21:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;m0re [M0re] [Spain] [Spain] [Wu] [Wu];<;Nahue05 [Georgians] [Georgians] [Argentina] [Argentina] [Nahuel05];(G2) [Watch VOD] [Watch VOD];Wu;Georgians;Georgians;FALSE;Shu;6;1;17%;7,56;Strandred;;
01/02/2026;18:00 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Stranded (2020) [Stranded (2020)];1v1;Krvemlík [Krvemlík (page does not exist)] [Czechia] [Czechia] [Italians] [Italians];>;pren [Khitans] [Khitans] [Czechia] [Czechia] [Pren (page does not exist)];;Italians;Khitans;Italians;FALSE;Sicilians;4;2;50%;54,07;Strandred;;
01/02/2026;14:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Whocl [DreamCl] [Chile] [Chile] [Japanese] [Japanese];<;Dr.Kozmonot [Georgians] [Georgians] [Turkey] [Turkey] [Dr.Kozmonot];(G1) [Watch VOD] [Watch VOD];Japanese;Georgians;Georgians;FALSE;Slavs;0;0;0%;0,00;Strandred;;
29/01/2026;18:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;miguel [Miguel] [Brazil] [Brazil] [Bengalis] [Bengalis];<;Prisma09 [Japanese] [Japanese] [Argentina] [Argentina] [Prisma09];(G1) [Watch VOD] [Watch VOD];Bengalis;Japanese;Japanese;FALSE;Spanish;2;1;50%;52,49;Strandred;;
28/01/2026;17:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Target331 [Target331] [Germany] [Germany] [Portuguese] [Portuguese];<;NeoZz [Dravidians] [Dravidians] [France] [France] [NeoZz];(G1) [Watch VOD] [Watch VOD];Portuguese;Dravidians;Dravidians;FALSE;Tatars;3;0;0%;0,00;Strandred;;
27/01/2026;08:00 UTC;[Age of Empires II];T90 Titans League 5: Silver League [T90 Titans League/5/Silver League];Stranded (2020) [Stranded (2020)];1v1;Youpudding [Youpudding] [Taiwan] [Taiwan] [Khmer] [Khmer];>;Survivalist [Shu] [Shu] [Canada] [Canada] [Survivalist];(G3) [Watch VOD] [Watch VOD];Khmer;Shu;Khmer;FALSE;Teutons;0;0;0%;0,00;Strandred;;
26/01/2026;18:30 UTC;[Age of Empires II];CZ/SK AoE Liga: Season 2 [CZ/SK AoE Liga/2];Stranded (2020) [Stranded (2020)];1v1;Krvemlík [Krvemlík (page does not exist)] [Czechia] [Czechia] [Chinese] [Chinese];>;Šteukoo [Persians] [Persians] [Slovakia] [Slovakia] [Šteukoo (page does not exist)];;Chinese;Persians;Chinese;FALSE;Tupi;0;0;0%;0,00;Strandred;;
