Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Fortified Clearing;Total matches;205
16/10/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;behemoth [Behemoth (page does not exist)] [Hungary] [Hungary] [Mongols] [Mongols];<;3milio [Cumans] [Cumans] [Hungary] [Hungary] [3milio (page does not exist)];(G1) [Watch VOD] [Watch VOD];Mongols;Cumans;Cumans;FALSE;Mayans;1;0;0%;0,00;Fortified Clearing;;
09/10/2025;16:00 UTC;[Age of Empires II];Torneo Nacional Español 2025: Qualifier [Torneo Nacional Español/2025/Qualifier];Fortified Clearing [Fortified Clearing];1v1;Rumba [Rumba (page does not exist)] [Spain] [Spain] [Poles] [Poles];>;Odysseo [Burgundians] [Burgundians] [Spain] [Spain] [Odysseo (page does not exist)];(G2) [Watch VOD] [Watch VOD];Poles;Burgundians;Poles;FALSE;Mongols;4;1;25%;18,37;Fortified Clearing;;
05/10/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;krysuxie [Krysuxie (page does not exist)] [Hungary] [Hungary] [Burmese] [Burmese];<;Jugger [Vikings] [Vikings] [Hungary] [Hungary] [Jugger (Hungarian Player) (page does not exist)];(G1) [Watch VOD] [Watch VOD];Burmese;Vikings;Vikings;FALSE;Muisca;0;0;0%;0,00;Fortified Clearing;;
03/10/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;Azul Nagual [Azul Nagual (page does not exist)] [Hungary] [Hungary] [Spanish] [Spanish];>;Zrínyi Miklós [Ethiopians] [Ethiopians] [Hungary] [Hungary] [Zrínyi Miklós (page does not exist)];(G1) [Watch VOD] [Watch VOD];Spanish;Ethiopians;Spanish;FALSE;Persians;2;0;0%;0,00;Fortified Clearing;;
29/09/2025;16:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;witcherkiller [Witcherkiller (page does not exist)] [Hungary] [Hungary] [Goths] [Goths];<;Misplaymaker [Cumans] [Cumans] [Hungary] [Hungary] [Misplaymaker (page does not exist)];(G1) [Watch VOD] [Watch VOD];Goths;Cumans;Cumans;FALSE;Poles;30;15;50%;61,94;Fortified Clearing;;
14/09/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;witcherkiller [Witcherkiller (page does not exist)] [Hungary] [Hungary] [Armenians] [Armenians];<;TheTivadar [Malians] [Malians] [Hungary] [Hungary] [TheTivadar (page does not exist)];(G2) [Watch VOD] [Watch VOD];Armenians;Malians;Malians;FALSE;Portuguese;17;5;29%;23,98;Fortified Clearing;;
06/09/2025;18:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;SchleK [SchleK (page does not exist)] [Hungary] [Hungary] [Saracens] [Saracens];<;John [Lithuanians] [Lithuanians] [Hungary] [Hungary] [John];(G1) [Watch VOD] [Watch VOD];Saracens;Lithuanians;Lithuanians;FALSE;Puru;0;0;0%;0,00;Fortified Clearing;;
01/09/2025;17:00 UTC;[Age of Empires II];HunCup 2025 Showmatch #3 [1v1 HunCup 2025/Showmatch/3];Fortified Clearing [Fortified Clearing];1v1;Lui [Lui (page does not exist)] [Hungary] [Hungary] [Bohemians] [Bohemians];>;Apor [Huns] [Huns] [Romania] [Romania] [Apor (page does not exist)];(G1) [Watch VOD] [Watch VOD];Bohemians;Huns;Bohemians;FALSE;Romans;2;1;50%;52,96;Fortified Clearing;;
28/08/2025;17:25 UTC;[Age of Empires II];Midweek Madness August #3 [Midweek Madness/2025/August/3];Fortified Clearing [Fortified Clearing];1v1;TheViper [TheViper] [Norway] [Norway] [Poles] [Poles];>;Mihai06 [Cumans] [Cumans] [Romania] [Romania] [Mihai06];(G2) [Watch VOD] [Watch VOD];Poles;Cumans;Poles;FALSE;Saracens;5;3;60%;58,99;Fortified Clearing;;
28/08/2025;16:10 UTC;[Age of Empires II];Midweek Madness August #3 [Midweek Madness/2025/August/3];Fortified Clearing [Fortified Clearing];1v1;Kingstone [KingstoNe] [Mexico] [Mexico] [Lithuanians] [Lithuanians];<;Mihai06 [Bengalis] [Bengalis] [Romania] [Romania] [Mihai06];(G2) [Watch VOD] [Watch VOD];Lithuanians;Bengalis;Bengalis;FALSE;Shu;0;0;0%;0,00;Fortified Clearing;;
