Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;795
02/09/2025;;[Age of Empires II];Argeking Cup VI [Argeking Cup/6];Kawasan [Kawasan];1v1;deaKer [DeaKer] [Argentina] [Argentina] [Portuguese] [Portuguese];>;Tatengue [Lithuanians] [Lithuanians] [Argentina] [Argentina] [Tatengue];(G1) [Watch VOD] [Watch VOD];Portuguese;Lithuanians;Portuguese;FALSE;Persians;130;75;59%;69,74;Kawasan;;
25/08/2025;22:15 UTC;[Age of Empires II];Argeking Cup VI [Argeking Cup/6];Kawasan [Kawasan];1v1;Carbo [Carbo] [Argentina] [Argentina] [Japanese] [Japanese];>;Twigg [Italians] [Italians] [Argentina] [Argentina] [Twigg];(G1) [Watch VOD] [Watch VOD];Japanese;Italians;Japanese;FALSE;Poles;2;0;0%;0,00;Kawasan;;
05/08/2025;20:00 UTC;[Age of Empires II];Argeking Cup VI [Argeking Cup/6];Kawasan [Kawasan];1v1;Anakin [Anakin] [Argentina] [Argentina] [Wu] [Wu];>;Avee [Persians] [Persians] [Argentina] [Argentina] [Avee (page does not exist)];(G5) [Watch VOD] [Watch VOD];Wu;Persians;Wu;FALSE;Portuguese;168;93;55%;68,95;Kawasan;;
04/08/2025;01:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Landy [Landy (page does not exist)] [Argentina] [Argentina] [Portuguese] [Portuguese];<;TomS [Malians] [Malians] [Argentina] [Argentina] [TomS];(G2) [Watch VOD] [Watch VOD];Portuguese;Malians;Malians;FALSE;Puru;0;0;0%;0,00;Kawasan;;
29/07/2025;13:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;lyx [Lyx] [China] [China] [Malay] [Malay];<;XuanLv [Franks] [Franks] [China] [China] [XuanLv (page does not exist)];(G2) [Watch VOD] [Watch VOD];Malay;Franks;Franks;FALSE;Romans;7;1;14%;6,01;Kawasan;;
27/07/2025;14:45 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;IBUYPOWER [IBUYPOWER] [China] [China] [Persians] [Persians];<;lyx [Malay] [Malay] [China] [China] [Lyx];(G4) [Watch VOD] [Watch VOD];Persians;Malay;Malay;FALSE;Saracens;20;9;45%;53,60;Kawasan;;
26/07/2025;14:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;Youpudding [Youpudding] [Taiwan] [Taiwan] [Persians] [Persians];>;IBUYPOWER [Persians] [Persians] [China] [China] [IBUYPOWER];(G1) [Watch VOD] [Watch VOD];Persians;Persians;Persians;TRUE;Shu;0;0;0%;0,00;Kawasan;;
25/07/2025;15:30 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;Z40 [Z40] [Taiwan] [Taiwan] [Portuguese] [Portuguese];>;MING [Byzantines] [Byzantines] [Hong Kong] [Hong Kong] [Ming (Hong Kongese player)];(G1) [Watch VOD] [Watch VOD];Portuguese;Byzantines;Portuguese;FALSE;Sicilians;6;4;67%;54,73;Kawasan;;
25/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;lyx [Lyx] [China] [China] [Portuguese] [Portuguese];<;XuanLv [Portuguese] [Portuguese] [China] [China] [XuanLv (page does not exist)];(G4) [Watch VOD] [Watch VOD];Portuguese;Portuguese;Portuguese;TRUE;Slavs;5;3;60%;53,28;Kawasan;;
23/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Kawasan [Kawasan];1v1;Youpudding [Youpudding] [Taiwan] [Taiwan] [Georgians] [Georgians];>;DuDuZhu [Portuguese] [Portuguese] [China] [China] [DuDuZhu];;Georgians;Portuguese;Georgians;FALSE;Spanish;6;3;50%;52,44;Kawasan;;
