Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;202
15/07/2025;01:30 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;Acti [Acti (page does not exist)] [Argentina] [Argentina] [Berbers] [Berbers];<;Onion [Japanese] [Japanese] [Argentina] [Argentina] [Onion (page does not exist)];(G3) [Watch VOD] [Watch VOD];Berbers;Japanese;Japanese;FALSE;Persians;41;19;45%;59,57;Kawasan;;
14/07/2025;23:00 UTC;[Age of Empires II];Argeking Cup VI: Qualifier [Argeking Cup/6/Qualifier];Kawasan [Kawasan];1v1;GabrielXbox4294 [GabrielXbox4294 (page does not exist)] [Argentina] [Argentina] [Celts] [Celts];<;Rodrigus [Franks] [Franks] [Argentina] [Argentina] [Rodrigus];(G2) [Watch VOD] [Watch VOD];Celts;Franks;Franks;FALSE;Poles;1;0;0%;0,00;Kawasan;;
26/06/2025;16:30 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Nicov [Nicov] [Argentina] [Argentina] [Japanese] [Japanese];<;Liereyy [Wu] [Wu] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Japanese;Wu;Wu;FALSE;Portuguese;36;24;68%;79,08;Kawasan;;
25/06/2025;18:00 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Georgians] [Georgians];<;Hera [Mongols] [Mongols] [Canada] [Canada] [Hera];(G2) [Watch VOD] [Watch VOD];Georgians;Mongols;Mongols;FALSE;Puru;0;0;0%;0,00;Kawasan;;
25/06/2025;15:00 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Hearttt [Hearttt] [Peru] [Peru] [Dravidians] [Dravidians];<;TaToH [Persians] [Persians] [Spain] [Spain] [TaToH];(G3) [Watch VOD] [Watch VOD];Dravidians;Persians;Persians;FALSE;Romans;2;0;0%;0,00;Kawasan;;
24/06/2025;18:30 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;JorDan_AoE [JorDan AoE] [Germany] [Germany] [Portuguese] [Portuguese];<;Barles [Wu] [Wu] [Poland] [Poland] [Barles];(G1) [Watch VOD] [Watch VOD];Portuguese;Wu;Wu;FALSE;Saracens;6;3;50%;55,99;Kawasan;;
24/06/2025;15:00 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Sebastian [Sebastian] [Uruguay] [Uruguay] [Byzantines] [Byzantines];<;Liereyy [Japanese] [Japanese] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Byzantines;Japanese;Japanese;FALSE;Shu;0;0;0%;0,00;Kawasan;;
23/06/2025;16:40 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;dogao [Dogao] [Brazil] [Brazil] [Japanese] [Japanese];<;Nicov [Dravidians] [Dravidians] [Argentina] [Argentina] [Nicov];(G2) [Watch VOD] [Watch VOD];Japanese;Dravidians;Dravidians;FALSE;Sicilians;1;0;0%;0,00;Kawasan;;
23/06/2025;15:35 UTC;[Age of Empires II];Medieval Masters [Medieval Masters];Kawasan [Kawasan];1v1;Lucho [Lucho] [Argentina] [Argentina] [Byzantines] [Byzantines];<;FreakinAndy [Wu] [Wu] [Austria] [Austria] [FreakinAndy];(G2) [Watch VOD] [Watch VOD];Byzantines;Wu;Wu;FALSE;Slavs;0;0;0%;0,00;Kawasan;;
01/06/2025;16:50 UTC;[Age of Empires II];Warlords IV [Warlords/4];Kawasan [Kawasan];1v1;Yo [Yo] [China] [China] [Incas] [Incas];<;Hera [Mongols] [Mongols] [Canada] [Canada] [Hera];(G6) [Watch VOD] [Watch VOD];Incas;Mongols;Mongols;FALSE;Spanish;3;1;33%;34,61;Kawasan;;
01/06/2025;15:00 UTC;[Age of Empires II];Warlords IV [Warlords/4];Kawasan [Kawasan];1v1;Liereyy [Liereyy] [Austria] [Austria] [Persians] [Persians];<;TaToH [Malay] [Malay] [Spain] [Spain] [TaToH];(G3) [Watch VOD] [Watch VOD];Persians;Malay;Malay;FALSE;Tatars;4;2;50%;54,74;Kawasan;;
30/05/2025;18:30 UTC;[Age of Empires II];Warlords IV [Warlords/4];Kawasan [Kawasan];1v1;Hearttt [Hearttt] [Peru] [Peru] [Celts] [Celts];<;Liereyy [Georgians] [Georgians] [Austria] [Austria] [Liereyy];(G4) [Watch VOD] [Watch VOD];Celts;Georgians;Georgians;FALSE;Teutons;2;1;50%;52,99;Kawasan;;
29/05/2025;18:00 UTC;[Age of Empires II];Warlords IV [Warlords/4];Kawasan [Kawasan];1v1;Vinchester [Vinchester] [Russia] [Russia] [Georgians] [Georgians];>;Hera [Lithuanians] [Lithuanians] [Canada] [Canada] [Hera];(G3) [Watch VOD] [Watch VOD];Georgians;Lithuanians;Georgians;FALSE;Tupi;0;0;0%;0,00;Kawasan;;
29/05/2025;15:05 UTC;[Age of Empires II];Warlords IV [Warlords/4];Kawasan [Kawasan];1v1;Sitaux [Sitaux] [France] [France] [Georgians] [Georgians];<;TaToH [Malians] [Malians] [Spain] [Spain] [TaToH];(G4) [Watch VOD] [Watch VOD];Georgians;Malians;Malians;FALSE;Turks;1;1;100%;56,41;Kawasan;;
25/05/2025;14:10 UTC;[Age of Empires II];Warlords IV [Warlords/4];Kawasan [Kawasan];1v1;ACCM [ACCM] [Vietnam] [Vietnam] [Persians] [Persians];<;TheViper [Portuguese] [Portuguese] [Norway] [Norway] [TheViper];(G5) [Watch VOD] [Watch VOD];Persians;Portuguese;Portuguese;FALSE;Vietnamese;2;0;0%;0,00;Kawasan;;
