Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;492
20/12/2025;18:55 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Franks] [Franks];>;Vinchester [Shu] [Shu] [Russia] [Russia] [Vinchester];(G3) [Watch VOD] [Watch VOD];Franks;Shu;Franks;FALSE;;;;;;;;
20/12/2025;18:55 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Vietnamese] [Vietnamese];>;Vinchester [Persians] [Persians] [Russia] [Russia] [Vinchester];(G2) [Watch VOD] [Watch VOD];Vietnamese;Persians;Vietnamese;FALSE;;;;;;;;
20/12/2025;18:55 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;TheViper [TheViper] [Norway] [Norway] [Hindustanis] [Hindustanis];>;Vinchester [Malians] [Malians] [Russia] [Russia] [Vinchester];(G1) [Watch VOD] [Watch VOD];Hindustanis;Malians;Hindustanis;FALSE;;;;;;;;
20/12/2025;16:00 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;Yo [Yo] [China] [China] [Bulgarians] [Bulgarians];<;Hera [Persians] [Persians] [Canada] [Canada] [Hera];(G5) [Watch VOD] [Watch VOD];Bulgarians;Persians;Persians;FALSE;;;;;;;;
20/12/2025;16:00 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;Yo [Yo] [China] [China] [Hindustanis] [Hindustanis];<;Hera [Ethiopians] [Ethiopians] [Canada] [Canada] [Hera];(G4) [Watch VOD] [Watch VOD];Hindustanis;Ethiopians;Ethiopians;FALSE;;;;;;;;
20/12/2025;16:00 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;Yo [Yo] [China] [China] [Khitans] [Khitans];>;Hera [Romans] [Romans] [Canada] [Canada] [Hera];(G3) [Watch VOD] [Watch VOD];Khitans;Romans;Khitans;FALSE;;;;;;;;
20/12/2025;16:00 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;Yo [Yo] [China] [China] [Georgians] [Georgians];<;Hera [Mongols] [Mongols] [Canada] [Canada] [Hera];(G2) [Watch VOD] [Watch VOD];Georgians;Mongols;Mongols;FALSE;;;;;;;;
20/12/2025;16:00 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;Yo [Yo] [China] [China] [Berbers] [Berbers];<;Hera [Vikings] [Vikings] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Berbers;Vikings;Vikings;FALSE;;;;;;;;
19/12/2025;20:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;Vinchester [Vinchester] [Russia] [Russia] [Chinese] [Chinese];>;Liereyy [Gurjaras] [Gurjaras] [Austria] [Austria] [Liereyy];(G5) [Watch VOD] [Watch VOD];Chinese;Gurjaras;Chinese;FALSE;;;;;;;;
19/12/2025;20:15 UTC;[Age of Empires II];King of the Desert VI [King of the Desert/6];Arabia [Arabia];1v1;Vinchester [Vinchester] [Russia] [Russia] [Tatars] [Tatars];<;Liereyy [Hindustanis] [Hindustanis] [Austria] [Austria] [Liereyy];(G4) [Watch VOD] [Watch VOD];Tatars;Hindustanis;Hindustanis;FALSE;;;;;;;;
